date,sales,onpromotion
2013-01-01,2511.618999,0
2013-01-02,412649.417944,0
2013-01-03,320308.231124,0
2013-01-04,325602.6770927,0
2013-01-05,398905.121229,0
2013-01-06,411764.401088,0
2013-01-07,314297.801066,0
2013-01-08,295725.777981,0
2013-01-09,289395.80901799997,0
2013-01-10,257110.003049,0
2013-01-11,286406.6850845,0
2013-01-12,348918.2120105,0
2013-01-13,388666.547998,0
2013-01-14,289851.362078,0
2013-01-15,287542.827954,0
2013-01-16,293790.913946,0
2013-01-17,261933.5159755,0
2013-01-18,289101.850028,0
2013-01-19,366946.852021,0
2013-01-20,377105.386047,0
2013-01-21,296066.26595000003,0
2013-01-22,268900.728983,0
2013-01-23,277309.4530325,0
2013-01-24,239740.690995,0
2013-01-25,279417.77193,0
2013-01-26,354102.7679753,0
2013-01-27,363407.991233,0
2013-01-28,272653.169953,0
2013-01-29,242909.8180765,0
2013-01-30,269297.127052,0
2013-01-31,258683.217996,0
2013-02-01,330195.055266,0
2013-02-02,418842.462705,0
2013-02-03,381607.82018,0
2013-02-04,301753.715017,0
2013-02-05,296115.83913,0
2013-02-06,286882.049149,0
2013-02-07,273372.530973,0
2013-02-08,323388.789912,0
2013-02-09,361862.2790747,0
2013-02-10,270372.328993,0
2013-02-11,254738.588926,0
2013-02-12,261026.7909121,0
2013-02-13,297996.929962,0
2013-02-14,263836.016957,0
2013-02-15,289705.883912,0
2013-02-16,398932.494008,0
2013-02-17,326000.910014,0
2013-02-18,294496.573191,0
2013-02-19,267523.801951,0
2013-02-20,286415.162034,0
2013-02-21,252650.1090155,0
2013-02-22,265482.897131,0
2013-02-23,343076.349113,0
2013-02-24,355472.126103,0
2013-02-25,279015.875933,0
2013-02-26,245999.0070675,0
2013-02-27,266381.998919,0
2013-02-28,260211.291888,0
2013-03-01,323780.165064,0
2013-03-02,425523.205258,0
2013-03-03,424942.580027,0
2013-03-04,320520.679097,0
2013-03-05,284743.714189,0
2013-03-06,292613.835968,0
2013-03-07,265269.52701,0
2013-03-08,280485.679967,0
2013-03-09,362524.496866,0
2013-03-10,349407.756153,0
2013-03-11,291737.133021,0
2013-03-12,246204.47801,0
2013-03-13,253965.882972,0
2013-03-14,226227.420096,0
2013-03-15,272805.090213,0
2013-03-16,386544.433961,0
2013-03-17,400167.584913,0
2013-03-18,294315.419031,0
2013-03-19,270867.245897,0
2013-03-20,270198.006946,0
2013-03-21,246046.127953,0
2013-03-22,280748.453969,0
2013-03-23,371693.003086,0
2013-03-24,360252.636951,0
2013-03-25,275427.6099585,0
2013-03-26,243539.2359,0
2013-03-27,278150.148998,0
2013-03-28,302139.269022,0
2013-03-29,293984.132,0
2013-03-30,355240.356036,0
2013-03-31,346474.639956,0
2013-04-01,340173.447912,0
2013-04-02,289299.827961,0
2013-04-03,303559.0758793,0
2013-04-04,264228.621963,0
2013-04-05,281525.782031,0
2013-04-06,392155.214023,0
2013-04-07,393323.376884,0
2013-04-08,286536.815943,0
2013-04-09,265184.7999627,0
2013-04-10,276444.374941,0
2013-04-11,250801.41301,0
2013-04-12,280897.967035,0
2013-04-13,353708.497048,0
2013-04-14,353010.148813,0
2013-04-15,298383.458055,0
2013-04-16,264139.618049,0
2013-04-17,272176.518942,0
2013-04-18,245609.509951,0
2013-04-19,272423.70494,0
2013-04-20,356949.838043,0
2013-04-21,362689.032087,0
2013-04-22,277547.173986,0
2013-04-23,248540.8329435,0
2013-04-24,268387.067925,0
2013-04-25,232815.618996,0
2013-04-26,268134.556952,0
2013-04-27,352982.661892,0
2013-04-28,364023.4729303,0
2013-04-29,276911.874018,0
2013-04-30,266007.466894,0
2013-05-01,361206.636889,0
2013-05-02,292389.460063,0
2013-05-03,286789.0400323,0
2013-05-04,405377.51596499997,0
2013-05-05,431632.550981,0
2013-05-06,269994.179046,0
2013-05-07,248051.964148,0
2013-05-08,275247.410968,0
2013-05-09,253035.563023,0
2013-05-10,282234.441949,0
2013-05-11,416993.58108,0
2013-05-12,327089.5050145,0
2013-05-13,302621.06187,0
2013-05-14,257646.313119,0
2013-05-15,272398.560081,0
2013-05-16,255423.946937,0
2013-05-17,258897.484998,0
2013-05-18,374030.558942,0
2013-05-19,394369.554009,0
2013-05-20,285850.214991,0
2013-05-21,254102.399952,0
2013-05-22,245781.4831075,0
2013-05-23,232724.058026,0
2013-05-24,331600.941982,0
2013-05-25,340147.141993,0
2013-05-26,349683.400068,0
2013-05-27,267097.5189235,0
2013-05-28,273158.1680565,0
2013-05-29,249587.380899,0
2013-05-30,257921.849939,0
2013-05-31,264585.841975,0
2013-06-01,438583.81498799997,0
2013-06-02,446339.494958,0
2013-06-03,310224.650995,0
2013-06-04,279853.160085,0
2013-06-05,281296.080915,0
2013-06-06,256517.765891,0
2013-06-07,282957.087977,0
2013-06-08,358838.699096,0
2013-06-09,394492.730256,0
2013-06-10,270643.291978,0
2013-06-11,235355.2159925,0
2013-06-12,263690.5779987,0
2013-06-13,243351.6030452,0
2013-06-14,271784.7421072,0
2013-06-15,386763.6668701,0
2013-06-16,336674.082881,0
2013-06-17,304652.271024,0
2013-06-18,255465.3299215,0
2013-06-19,247320.257977,0
2013-06-20,239259.944015,0
2013-06-21,264292.6870265,0
2013-06-22,360636.312096,0
2013-06-23,379310.845142,0
2013-06-24,270467.9060383,0
2013-06-25,263851.530064,0
2013-06-26,251342.5559636,0
2013-06-27,223937.458966,0
2013-06-28,257370.971803,0
2013-06-29,386893.108146,0
2013-06-30,400034.693027,0
2013-07-01,343242.3880965,0
2013-07-02,274179.38408,0
2013-07-03,277783.429949,0
2013-07-04,270730.152028,0
2013-07-05,275285.500074,0
2013-07-06,356237.493924,0
2013-07-07,367489.073078,0
2013-07-08,268515.995017,0
2013-07-09,237568.1449993,0
2013-07-10,243702.886071,0
2013-07-11,236608.931023,0
2013-07-12,238422.921133,0
2013-07-13,341996.1022205,0
2013-07-14,330630.417857,0
2013-07-15,271215.0469486,0
2013-07-16,257523.013006,0
2013-07-17,256882.8180255,0
2013-07-18,226050.8739522,0
2013-07-19,245001.555049,0
2013-07-20,338655.731013,0
2013-07-21,342481.624049,0
2013-07-22,258266.47005,0
2013-07-23,253598.298107,0
2013-07-24,238678.7899995,0
2013-07-25,247422.5179247,0
2013-07-26,254261.692921,0
2013-07-27,341951.5020012,0
2013-07-28,327530.6520873,0
2013-07-29,260234.2850525,0
2013-07-30,260002.989932,0
2013-07-31,276033.363012,0
2013-08-01,289237.4911021,0
2013-08-02,292409.120007,0
2013-08-03,391872.447013,0
2013-08-04,364769.27594,0
2013-08-05,292463.143946,0
2013-08-06,272672.134086,0
2013-08-07,244069.187003,0
2013-08-08,251167.3549315,0
2013-08-09,273279.667868,0
2013-08-10,325386.68609,0
2013-08-11,334181.3230013,0
2013-08-12,264284.224033,0
2013-08-13,250423.331061,0
2013-08-14,243585.580893,0
2013-08-15,248967.17291,0
2013-08-16,282335.2198839,0
2013-08-17,352836.1839167,0
2013-08-18,331942.7730675,0
2013-08-19,269147.52696,0
2013-08-20,272640.63398,0
2013-08-21,247498.489932,0
2013-08-22,250990.26098,0
2013-08-23,265653.369098,0
2013-08-24,320952.154994,0
2013-08-25,344763.093754,0
2013-08-26,261121.5660143,0
2013-08-27,245124.2190185,0
2013-08-28,244810.060993,0
2013-08-29,240332.685943,0
2013-08-30,266339.930947,0
2013-08-31,381498.3811059,0
2013-09-01,434825.221875,0
2013-09-02,319913.987966,0
2013-09-03,277399.420032,0
2013-09-04,280687.48591,0
2013-09-05,260474.113063,0
2013-09-06,247093.247929,0
2013-09-07,390176.247,0
2013-09-08,400399.663091,0
2013-09-09,264283.7070027,0
2013-09-10,237176.4658225,0
2013-09-11,238211.88185,0
2013-09-12,235137.73093700001,0
2013-09-13,249364.942029,0
2013-09-14,348296.004996,0
2013-09-15,367837.217041,0
2013-09-16,269875.547879,0
2013-09-17,265147.949966,0
2013-09-18,229118.877926,0
2013-09-19,223284.372008,0
2013-09-20,247673.8579701,0
2013-09-21,334197.380896,0
2013-09-22,357113.7019007,0
2013-09-23,252487.0340047,0
2013-09-24,223027.392926,0
2013-09-25,241729.184996,0
2013-09-26,211563.8798588,0
2013-09-27,239851.773024,0
2013-09-28,363035.6890081,0
2013-09-29,349133.708946,0
2013-09-30,266477.4500143,0
2013-10-01,307469.872076,0
2013-10-02,294437.6550375,0
2013-10-03,244028.52203,0
2013-10-04,279801.845059,0
2013-10-05,372873.625057,0
2013-10-06,376721.424016,0
2013-10-07,262298.703043,0
2013-10-08,248300.7240121,0
2013-10-09,250447.418957,0
2013-10-10,242765.5530576,0
2013-10-11,297703.849028,0
2013-10-12,289355.1919939,0
2013-10-13,344610.2559686,0
2013-10-14,265501.7209944,0
2013-10-15,225650.569986,0
2013-10-16,260195.963943,0
2013-10-17,233316.409961,0
2013-10-18,235503.476107,0
2013-10-19,332898.570001,0
2013-10-20,381533.5090483,0
2013-10-21,249630.475971,0
2013-10-22,230325.7850828,0
2013-10-23,223125.11598,0
2013-10-24,221419.0800025,0
2013-10-25,229479.7660338,0
2013-10-26,317999.363914,0
2013-10-27,352754.7050689,0
2013-10-28,239783.40296,0
2013-10-29,221207.9969864,0
2013-10-30,215102.0000373,0
2013-10-31,228911.433106,0
2013-11-01,281373.174955,0
2013-11-02,352554.555037,0
2013-11-03,402304.362029,0
2013-11-04,295212.716046,0
2013-11-05,286179.576909,0
2013-11-06,259521.3368195,0
2013-11-07,242626.3400477,0
2013-11-08,273572.978049,0
2013-11-09,349350.02307,0
2013-11-10,416038.410239,0
2013-11-11,259593.890067,0
2013-11-12,248585.748034,0
2013-11-13,231975.7578851,0
2013-11-14,228735.4029707,0
2013-11-15,258341.296052,0
2013-11-16,372536.5881155,0
2013-11-17,407019.228924,0
2013-11-18,278970.551999,0
2013-11-19,253212.6870234,0
2013-11-20,228519.734795,0
2013-11-21,227736.538965,0
2013-11-22,256018.213038,0
2013-11-23,357910.080837,0
2013-11-24,396977.056106,0
2013-11-25,271635.2610102,0
2013-11-26,236670.830024,0
2013-11-27,246456.286026,0
2013-11-28,232754.981947,0
2013-11-29,249895.335165,0
2013-11-30,386940.655801,0
2013-12-01,495979.356989,0
2013-12-02,372277.366984,0
2013-12-03,285463.046973,0
2013-12-04,288316.0459855,0
2013-12-05,243467.804985,0
2013-12-06,318750.755068,0
2013-12-07,396941.947801,0
2013-12-08,435841.895921,0
2013-12-09,280427.3141075,0
2013-12-10,269035.695986,0
2013-12-11,266768.575908,0
2013-12-12,249462.080979,0
2013-12-13,303934.0129787,0
2013-12-14,400950.234024,0
2013-12-15,458986.4108165,0
2013-12-16,350341.290853,0
2013-12-17,329560.7168425,0
2013-12-18,346963.736925,0
2013-12-19,348078.038187,0
2013-12-20,376564.2676365,0
2013-12-21,482270.52474,0
2013-12-22,458483.966867,0
2013-12-23,514908.396427,0
2013-12-24,474702.069732,0
2013-12-25,0.0,0
2013-12-26,349465.4584137,0
2013-12-27,354354.968043,0
2013-12-28,412905.891979,0
2013-12-29,377805.5049237,0
2013-12-30,471823.7358515,0
2013-12-31,407706.1450475,0
2014-01-01,6273.065404,0
2014-01-02,588026.204041,0
2014-01-03,494933.742603,0
2014-01-04,616014.5056039,0
2014-01-05,624078.75794,0
2014-01-06,435592.646009,0
2014-01-07,452323.7568595,0
2014-01-08,435822.693778,0
2014-01-09,393250.415414,0
2014-01-10,429659.617066,0
2014-01-11,548305.992619,0
2014-01-12,542121.334917,0
2014-01-13,445428.1180185,0
2014-01-14,396510.57528499997,0
2014-01-15,401785.107769,0
2014-01-16,395271.201207,0
2014-01-17,420074.445657,0
2014-01-18,534146.5079055,0
2014-01-19,557870.214091,0
2014-01-20,450239.420871,0
2014-01-21,422604.635912,0
2014-01-22,393096.961774,0
2014-01-23,377032.1358597,0
2014-01-24,394891.272256,0
2014-01-25,514068.463053,0
2014-01-26,543936.221862,0
2014-01-27,410461.804711,0
2014-01-28,391414.143798,0
2014-01-29,373118.937222,0
2014-01-30,379567.0317033,0
2014-01-31,440570.614394,0
2014-02-01,465851.19898,0
2014-02-02,435468.802102,0
2014-02-03,326113.2949585,0
2014-02-04,280652.5869763,0
2014-02-05,266840.3059075,0
2014-02-06,243423.101529,0
2014-02-07,268301.568011,0
2014-02-08,374503.059914,0
2014-02-09,373618.2620746,0
2014-02-10,277477.737011,0
2014-02-11,257961.7339877,0
2014-02-12,274557.366972,0
2014-02-13,243389.1925675,0
2014-02-14,279348.4069057,0
2014-02-15,401277.357859,0
2014-02-16,409794.75008,0
2014-02-17,302288.2879535,0
2014-02-18,278047.619942,0
2014-02-19,239394.4930075,0
2014-02-20,224281.9201135,0
2014-02-21,256582.062633,0
2014-02-22,394258.489827,0
2014-02-23,352510.463891,0
2014-02-24,304973.188997,0
2014-02-25,234272.110084,0
2014-02-26,264296.266985,0
2014-02-27,246140.185244,0
2014-02-28,320749.795466,0
2014-03-01,627131.6918707,0
2014-03-02,471866.778988,0
2014-03-03,405850.408886,0
2014-03-04,482095.604096,0
2014-03-05,516749.602125,0
2014-03-06,451371.985339,0
2014-03-07,461070.897178,0
2014-03-08,494226.098001,0
2014-03-09,572454.731984,0
2014-03-10,429411.119974,0
2014-03-11,410764.572063,0
2014-03-12,380030.217832,0
2014-03-13,375489.104554,0
2014-03-14,421896.7464715,0
2014-03-15,512226.544851,0
2014-03-16,579570.696772,0
2014-03-17,448669.249118,0
2014-03-18,413713.07875,0
2014-03-19,393661.973718,0
2014-03-20,400608.373641,0
2014-03-21,397708.871984,0
2014-03-22,497885.334972,0
2014-03-23,517898.578064,0
2014-03-24,409857.888919,0
2014-03-25,423554.7083493,0
2014-03-26,368175.475547,0
2014-03-27,380633.926304,0
2014-03-28,390150.822947,0
2014-03-29,543948.873686,0
2014-03-30,544160.8961415,0
2014-03-31,465695.080461,0
2014-04-01,335114.187001,3
2014-04-02,314215.454107,1
2014-04-03,250428.97541800002,119
2014-04-04,302514.745073,5
2014-04-05,409215.258045,6
2014-04-06,422490.798898,2
2014-04-07,302836.6750178,3
2014-04-08,239080.272105,8
2014-04-09,255602.533012,4
2014-04-10,255252.7571255,119
2014-04-11,266926.845927,14
2014-04-12,379969.913964,10
2014-04-13,357770.931942,11
2014-04-14,257171.866033,8
2014-04-15,228882.381991,45
2014-04-16,279220.084985,45
2014-04-17,283258.120904,455
2014-04-18,286570.885115,37
2014-04-19,349212.222136,34
2014-04-20,319355.0280386,37
2014-04-21,269394.396998,28
2014-04-22,256127.239018,49
2014-04-23,258099.595049,58
2014-04-24,238107.477858,460
2014-04-25,274151.648433,22
2014-04-26,342589.920036,39
2014-04-27,368436.500995,50
2014-04-28,249133.1829815,65
2014-04-29,232490.348031,73
2014-04-30,252324.964912,86
2014-05-01,339080.800064,535
2014-05-02,297156.518212,212
2014-05-03,433867.381971,57
2014-05-04,454677.831883,47
2014-05-05,304213.045071,67
2014-05-06,267250.646086,83
2014-05-07,252412.145945,71
2014-05-08,234679.546217,472
2014-05-09,268958.196055,218
2014-05-10,409397.203997,57
2014-05-11,327815.841937,57
2014-05-12,294991.889006,57
2014-05-13,238996.522978,61
2014-05-14,251576.806985,151
2014-05-15,245224.8296378,534
2014-05-16,247006.595652,1178
2014-05-17,365635.583019,120
2014-05-18,425750.43482829997,117
2014-05-19,267762.258958,103
2014-05-20,261023.33997,154
2014-05-21,265592.047031,186
2014-05-22,253433.482642,1558
2014-05-23,269551.512725,1274
2014-05-24,373537.95170700003,198
2014-05-25,401060.55916,178
2014-05-26,251425.086112,188
2014-05-27,249534.327098,195
2014-05-28,251569.784057,186
2014-05-29,268931.4673325,1580
2014-05-30,281471.7558709,1224
2014-05-31,438707.697989,254
2014-06-01,502512.979236,99
2014-06-02,374996.7559758,177
2014-06-03,313525.925975,198
2014-06-04,315511.905993,228
2014-06-05,271447.307823,1615
2014-06-06,289871.482449,1258
2014-06-07,399214.188024,191
2014-06-08,431378.051957,192
2014-06-09,315230.764041,194
2014-06-10,264843.4229725,197
2014-06-11,289136.48118,246
2014-06-12,261692.82136,1960
2014-06-13,300900.374573,1307
2014-06-14,435299.139944,259
2014-06-15,334939.0709945,244
2014-06-16,328052.23987,330
2014-06-17,292047.036044,374
2014-06-18,295122.6641423,412
2014-06-19,272206.935096,2356
2014-06-20,288022.789547,1929
2014-06-21,403020.855166,296
2014-06-22,419329.2430535,326
2014-06-23,295835.6359765,232
2014-06-24,263939.7450455,264
2014-06-25,276097.978017,336
2014-06-26,266848.853924,2159
2014-06-27,298253.504429,2729
2014-06-28,398551.81398,411
2014-06-29,417231.6710125,283
2014-06-30,324264.9282005,313
2014-07-01,566295.526788,2261
2014-07-02,499269.1351275,3018
2014-07-03,458812.6437922,2331
2014-07-04,445264.79924,3981
2014-07-05,575130.8321677,523
2014-07-06,590366.495759,496
2014-07-07,468855.396909,436
2014-07-08,461678.9255265,2164
2014-07-09,399369.597963,2999
2014-07-10,430545.51698,2441
2014-07-11,413013.028793,4018
2014-07-12,524463.6443005,517
2014-07-13,512280.596849,638
2014-07-14,462928.71314,590
2014-07-15,488842.8128329,2308
2014-07-16,435847.8819885,3156
2014-07-17,404421.8480971,2383
2014-07-18,439257.2070519,4246
2014-07-19,512818.364208,664
2014-07-20,535808.8530457,583
2014-07-21,469728.138008,555
2014-07-22,441936.551011,2268
2014-07-23,420544.640995,3183
2014-07-24,411738.2490115,2412
2014-07-25,464874.608128,4358
2014-07-26,514524.3450267,610
2014-07-27,529466.31262,560
2014-07-28,482125.54329,542
2014-07-29,442922.0780017,2186
2014-07-30,400760.674281,3153
2014-07-31,443552.661194,2302
2014-08-01,401304.5649305,4368
2014-08-02,473242.938869,453
2014-08-03,453831.769888,392
2014-08-04,351801.979022,371
2014-08-05,303956.820176,359
2014-08-06,300846.724941,477
2014-08-07,292026.992989,2287
2014-08-08,319987.5859829,4241
2014-08-09,387614.239084,482
2014-08-10,387430.1220035,507
2014-08-11,319967.092013,470
2014-08-12,288060.682991,467
2014-08-13,295333.653964,570
2014-08-14,280516.8170565,2296
2014-08-15,329541.9950593,4417
2014-08-16,402618.24717,496
2014-08-17,405883.432008,455
2014-08-18,335636.361907,447
2014-08-19,303421.4050773,473
2014-08-20,319069.790988,508
2014-08-21,291429.8749955,2382
2014-08-22,327045.8983235,4448
2014-08-23,393566.826204,588
2014-08-24,410771.6131047,583
2014-08-25,326206.446007,527
2014-08-26,297007.9079745,499
2014-08-27,294432.292077,566
2014-08-28,271972.427,2150
